indexDateString,value,statusCode
01-01-2006,28927.0305604169,OK
01-04-2006,28250.6357976028,OK
01-07-2006,28082.0946765392,OK
01-10-2006,29887.569791896,OK
01-01-2007,25067.562981775,OK
01-04-2007,27845.3576639669,OK
01-07-2007,25236.552325684,OK
01-10-2007,26455.5684867996,OK
01-01-2008,29027.1591814639,OK
01-04-2008,26984.9736431922,OK
01-07-2008,30800.9419341593,OK
01-10-2008,27999.7850135525,OK
01-01-2009,29018.7570590214,OK
01-04-2009,33046.3007862766,OK
01-07-2009,35363.5029669988,OK
01-10-2009,40622.0146038488,OK
01-01-2010,38219.9241719194,OK
01-04-2010,34766.1344477566,OK
01-07-2010,36498.8969045664,OK
01-10-2010,39578.5939611715,OK
01-01-2011,41777.7839016419,OK
01-04-2011,45836.1359621924,OK
01-07-2011,45879.6227641936,OK
01-10-2011,52287.3858268048,OK
01-01-2012,51202.8079059131,OK
01-04-2012,50944.1841759363,OK
01-07-2012,54119.2448138072,OK
01-10-2012,57624.5169243627,OK
01-01-2013,56447.2415033648,OK
01-04-2013,55094.3436668916,OK
01-07-2013,56703.9960633835,OK
01-10-2013,54684.5929433328,OK
01-01-2014,50896.0238315805,OK
01-04-2014,51684.4872865964,OK
01-07-2014,48548.2327228002,OK
01-10-2014,48027.1568046363,OK
01-01-2015,46141.635426803,OK
01-04-2015,45470.3296668663,OK
01-07-2015,42116.9484951964,OK
01-10-2015,42835.9547035372,OK
01-01-2016,45141.9485016027,OK
01-04-2016,46245.7754647296,OK
01-07-2016,46374.5729102977,OK
01-10-2016,48125.8312948913,OK
01-01-2017,46772.6728056303,OK
01-04-2017,46475.0999743068,OK
01-07-2017,49670.2251583026,OK
01-10-2017,52863.4192683333,OK
01-01-2018,54300.0444739467,OK
01-04-2018,49249.3590977143,OK
01-07-2018,47705.2739009463,OK
01-10-2018,46384.5392509171,OK
01-01-2019,43768.8173478233,OK
01-04-2019,43982.5361711029,OK
01-07-2019,42663.5313514194,OK
01-10-2019,45737.8348613669,OK
01-01-2020,41903.5789709914,OK
01-04-2020,62944.6151426319,OK
01-07-2020,76087.5745706129,OK
01-10-2020,85874.460964718,OK
01-01-2021,84254.1251730286,OK
01-04-2021,99377.8050539142,OK
01-07-2021,95863.332030808,OK
